Category,Sub Category,Family,Genus,Species,Common Name,Native,Frequency,Source,Newsletter
Bird,Medium Birds,Campephagidae,Coracina,novaehollandiae,Black-faced Cuckoo-shrike,Yes,Common,Group,
Bird,Medium Birds,Climacteridae,Cormobates,leucophaea,White-throated Treecreeper,Yes,Uncommon,Group,
Bird,Medium Birds,Phasianidae,Coturnix,pectoralis,Stubble Quail,Yes,Rare,Group,
Bird,Medium Birds,Phasianidae,Coturnix,ypsilophora,Brown Quail,Yes,Common,Group,
Bird,Medium Birds,Artamidae,Cracticus,torquatus,Grey Butcherbird,Yes,Common,Group,
Bird,Medium Birds,Coraciidae,Eurystomus,orientalis,Dollarbird,Yes,Rare,Group,
Bird,Medium Birds,Monarchidae,Grallina,cyanoleuca,Magpie-lark,Yes,Common,Group,
Bird,Medium Birds,Apodidae,Hirundapus,caudacutus,White-throated Needletail,Yes,Uncommon,Group,
Bird,Medium Birds,Hirundinidae,Hirundo,neoxena,Welcome Swallow,Yes,Common,Group,
Bird,Medium Birds,Campephagidae,Lalage,tricolor,White-winged Triller,Yes,Rare,Group,
Bird,Medium Birds,Meropidae,Merops,ornatus,Rainbow Bee-eater,Yes,Rare,Group,
Bird,Medium Birds,Monarchidae,Myiagra,cyanoleuca,Satin Flycatcher,Yes,Uncommon,Group,
Bird,Medium Birds,Monarchidae,Myiagra,inquieta,Restless Flycatcher,Yes,Rare,Group,
Bird,Medium Birds,Monarchidae,Myiagra,rubecula,Leaden Flycatcher,Yes,Uncommon,Group,
Bird,Medium Birds,Oriolidae,Oriolus,sagittatus,Olive-backed Oriole,Yes,Common,Group,
Bird,Medium Birds,Oriolidae,Pachycephala,pectoralis,Golden Whistler,Yes,Common,Group,
Bird,Medium Birds,Pachycephalidae,Pachycephala,rufiventris,Rufous Whistler,Yes,Common,Group,
Bird,Medium Birds,Passeridae,Passer,domesticus,House Sparrow,No,Common,Group,
Bird,Medium Birds,Rhipiduridae,Rhipidura,fuliginosa,Grey Fantail,Yes,Common,Group,
Bird,Medium Birds,Rhipiduridae,Rhipidura,leucophrys,Willie Wagtail,Yes,Common,Group,
Bird,Medium Birds,Sturnidae,Sturnus,tristis,Common Myna,No,Common,Group,
Bird,Medium Birds,Sturnidae,Sturnus,vulgaris,Common Starling,No,Common,Group,
Bird,Medium Birds,Alcedinidae,Todiramphus,sanctus,Sacred Kingfisher,Yes,Common,Group,
Bird,Medium Birds,Turdidae,Turdus,merula,Common Blackbird,No,Common,Group,
Bird,Medium Birds,Turnicidae,Turnix,varius,Painted Button-quail,Yes,Uncommon,Group,
Bird,Nocturnal Bird,Strigidae,Ninox,novaeseelandiae,Southern Boobook,Yes,Rare,Group,
